Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2016-02-27 16:39:10,Running,,0.70,18:16,26:12,2.29,83.0,49.00,,,2016-02-27-1639.gpx
2016-02-27 16:32:42,Running,,0.00,5:38,,,0.0,0.00,,,2016-02-27-1632.gpx
2016-02-21 13:15:11,Running,,4.14,35:58,8:41,6.91,616.0,174.30,,,2016-02-21-1315.gpx
2016-02-15 18:01:46,Running,,3.51,26:44,7:37,7.88,494.0,62.77,,,2016-02-15-1801.gpx
2016-01-30 11:29:54,Running,,6.12,57:52,9:27,6.35,928.0,285.88,,,2016-01-30-1129.gpx
2016-01-24 12:29:22,Running,,4.67,37:56,8:07,7.39,712.0,213.14,,,2016-01-24-1229.gpx
2016-01-18 14:24:10,Running,,4.47,37:21,8:21,7.19,685.0,221.13,,,2016-01-18-1424.gpx
2016-01-10 12:41:02,Running,,5.24,24:09,4:36,13.02,785.0,243.86,,,2016-01-10-1241.gpx
2016-01-05 14:22:25,Running,,11.70,1:05:36,5:36,10.70,1513.0,329.00,,,2016-01-05-1422.gpx
2016-01-02 11:07:54,Running,,4.92,38:38,7:51,7.65,733.0,197.83,,,2016-01-02-1107.gpx
2015-12-31 13:51:02,Running,,0.00,8:14,,,0.0,0.00,,,2015-12-31-1351.gpx
2015-12-31 13:40:39,Running,,1.22,9:47,8:02,7.47,171.0,19.47,,,2015-12-31-1340.gpx
2015-12-27 15:25:26,Running,,0.81,33:07,40:51,1.47,119.0,4.85,,,2015-12-27-1525.gpx
2015-12-27 15:15:53,Running,,0.47,8:32,18:19,3.28,42.0,0.00,,,2015-12-27-1515.gpx
2015-12-26 15:03:14,Running,,6.00,49:13,8:12,7.32,875.0,168.00,,,2015-12-26-1503.gpx
2015-12-16 07:06:43,Running,,2.46,17:58,7:18,8.21,328.0,15.66,,,2015-12-16-0706.gpx
2015-12-09 22:02:56,Running,,2.37,16:47,7:05,8.47,321.0,13.98,,,2015-12-09-2202.gpx
2015-12-08 15:13:13,Running,,9.03,1:25:08,9:26,6.36,1502.0,805.62,,,2015-12-08-1513.gpx
